npi,communityId
1174669998,1400
1174670046,1384
1174670962,1384
1174718480,1395
1174727655,1384
1174730386,1384
1174910491,1400
1174919617,1400
1184048795,1395
1184069429,1393
1184603839,1399
1184611493,1390
1184612921,1385
1184615809,1390
1184619124,1400
1184620460,1386
1184650145,1393
1184697898,1385
1184867939,1388
1184885923,1384
1184914129,1390
1184949752,1386
1194046656,1384
1194710889,1386
1194716662,1387
1194741488,1384
1194743914,1393
1194751354,1393
1194817502,1384
1194872051,1393
1194969196,1384
1194987867,1384
1205030780,1384
1205819695,1384
1205822962,1390
1205825866,1400
1205826526,1391
1205827987,1387
1205830015,1395
1205878220,1399
1205878402,1395
1205879467,1391
1205897584,1387
1205923331,1384
1205945300,1395
1205978152,1395
1205983186,1384
1215017330,1384
1215029897,1388
1215036652,1384
1215084108,1384
1215091129,1384
1215105895,1384
1215155288,1384
1215193255,1384
1215216890,1393
1215295084,1386
1215377932,1395
1215900980,1384
1215902796,1395
1215916838,1388
1215926860,1395
1215926886,1395
1215937982,1393
1215979190,1400
1215995972,1400
1225023914,1386
1225027014,1391
1225029994,1393
1225031073,1390
1225039290,1400
1225078561,1390
1225120926,1386
1225203540,1393
1225269103,1384
1225329634,1384
1225411010,1384
1235101809,1391
1235137183,1384
1235154683,1395
1235163528,1399
1235171596,1391
1235172164,1384
1235172800,1395
1235196395,1387
1235215518,1391
1235238676,1384
1235242181,1386
1235357062,1393
1245203355,1391
1245208602,1388
1245225937,1386
1245267723,1384
1245271741,1385
1245275593,1393
1245300391,1386
1245313741,1385
1245322668,1384
1245325661,1386
1245334333,1390
1245368943,1391
1245541358,1400
1245556554,1384
1255301800,1400
1255316519,1390
1255323382,1408
1255355277,1391
1255368767,1390
1255370029,1390
1255400362,1386
1255488052,1387
1255548665,1384
1255579652,1395
1255624433,1384
1255642856,1395
1255674594,1391
1265423099,1393
1265426050,1386
1265427553,1386
1265445506,1387
1265464499,1400
1265465959,1393
1265487193,1386
1265497788,1386
1265529309,1384
1265551295,1384
1265606255,1386
1265636757,1387
1265756837,1395
1265875553,1390
1275524936,1393
1275528770,1400
1275536468,1391
1275546061,1384
1275597262,1393
1275620312,1384
1275631129,1384
1275646119,1386
1275680134,1390
1275720542,1386
1275767261,1384
1275793283,1386
1275828089,1395
1275888992,1391
1285615278,1385
1285617332,1384
1285620344,1384
1285625731,1393
1285625814,1393
1285627398,1390
1285629527,1384
1285644237,1391
1285662148,1386
1285676247,1390
1285682211,1386
1285695171,1386
1285716944,1384
1285723718,1386
1285732131,1384
1285733618,1384
1285781161,1384
1285862482,1393
1295052934,1395
1295093615,1384
1295178481,1384
1295706257,1391
1295709897,1390
1295720605,1395
1295770915,1393
1295780476,1385
1295882165,1384
1295882348,1384
1295919041,1391
1306010749,1384
1306037775,1390
1306040894,1384
1306053939,1393
1306111497,1388
1306819792,1400
1306827605,1400
1306831284,1386
1306834700,1395
1306862669,1386
1306884150,1384
1306889597,1400
1306891262,1390
1306896519,1384
1306936802,1384
1306950514,1400
1306969696,1391
1306981741,1395
1316029218,1384
1316029226,1390
1316034424,1384
1316051683,1400
1316054133,1388
1316096373,1384
1316101249,1384
1316112634,1384
1316160468,1384
1316206337,1399
1316329675,1399
1316351844,1390
1316379738,1400
1316933955,1386
1316944648,1391
1316975485,1384
1316977812,1386
1316980352,1390
1316985120,1390
1316987654,1390
1326013566,1384
1326046673,1385
1326048844,1399
1326056839,1386
1326057167,1400
1326086653,1390
1326101924,1388
1326115577,1395
1326120700,1386
1326135443,1384
1326135450,1384
1326214438,1384
1336134501,1395
1336147685,1385
1336147776,1390
1336155530,1387
1336200385,1388
1336230424,1391
1336285873,1384
1336296136,1386
1336312602,1384
1336331719,1388
1336377837,1393
1336433549,1391
1346238656,1395
1346244324,1386
1346291952,1388
1346292257,1400
1346332756,1384
1346339710,1384
1346345154,1400
1346353299,1386
1346397205,1387
1346426038,1393
1346504529,1393
1346507423,1386
1346533320,1386
1356304984,1384
1356308779,1391
1356311831,1400
1356315063,1395
1356325237,1393
1356332068,1390
1356395990,1390
1356433783,1384
1356438493,1384
1356440796,1384
1356492342,1391
1356542369,1384
1356592778,1395
1366431710,1384
1366446171,1393
1366497273,1390
1366499261,1400
1366526469,1384
1366559536,1384
1366571523,1391
1366599151,1384
1366642415,1395
1366703225,1400
1366706459,1390
1366731697,1395
1366736845,1405
1376506337,1385
1376508374,1388
1376538207,1386
1376538272,1386
