"","to_npi","from_npi","patient_count","transaction_count","average_day_wait","std_day_wait","hospital_type","pcp_class","pcp_special","to_organization","full_name","credential_text","middle_name","name_prefix_text","name_suffix_text","pcp_communityid","hospital_communityid"
"70",1023055126,1245325661,556,1053,8.837,32.058,"General Acute Care Hospital","Internal Medicine","Interventional Cardiology","HCA HEALTH SERVICES OF TENNESSEE, INC.","PAUL MYERS","MD","ROBERT","NULL","NULL",1386,1386
"71",1023055126,1730345505,391,919,0,0,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","SHEFALI PARANJAPE","MD","YESHAWANT","DR.","NULL",1386,1386
"72",1023055126,1285682211,34,53,24.585,30.166,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","SHUAIB MOHYUDDIN","M.D.","M","NULL","NULL",1386,1386
"73",1023055126,1871539502,231,462,6.721,24.059,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","RAYMOND BREWER","M.D.","MICHAEL","DR.","NULL",1386,1386
"74",1023055126,1518952852,78,119,41.521,43.095,"General Acute Care Hospital","Internal Medicine","Rheumatology","HCA HEALTH SERVICES OF TENNESSEE, INC.","MARVIN MEADORS","M.D.","P","NULL","NULL",1386,1386
"75",1023055126,1093809857,59,78,27.154,37.737,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","FRANCISCO MAYORQUIN","M.D.","J","NULL","NULL",1386,1386
"76",1023055126,1770578882,65,86,27.535,47.36,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","BRUCE WALLSTEDT","MD","A","MR.","NULL",1387,1386
"77",1023055126,1275793283,444,1057,2.019,13.495,"General Acute Care Hospital","Internal Medicine","Interventional Cardiology","HCA HEALTH SERVICES OF TENNESSEE, INC.","ANDREW GOODMAN","M.D.","NULL","DR.","NULL",1386,1386
"78",1023055126,1164504544,277,344,49.154,54.478,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","NELSON MANGIONE","MD","J","NULL","NULL",1395,1386
"79",1023055126,1154531911,46,51,0.078,0.272,"General Acute Care Hospital","Internal Medicine","Pulmonary Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","KELLY NEWTON","D.O.","NULL","NULL","NULL",1386,1386
