npi,communityId
1306827605,1396
1306831284,1384
1306834700,1393
1306862669,1384
1306884150,1382
1306889597,1396
1306891262,1388
1306896519,1382
1306936802,1382
1306950514,1396
1306969696,1389
1306981741,1393
1316029218,1382
1316029226,1388
1316034424,1382
1316051683,1396
1316054133,1386
1316096373,1382
1316101249,1382
1316112634,1382
1316160468,1382
1316206337,1397
1316329675,1397
1316351844,1388
1316379738,1396
1316933955,1384
1316944648,1389
1316975485,1382
1316977812,1384
1316980352,1388
1316985120,1388
1316987654,1388
1326013566,1382
1326046673,1381
1326048844,1397
1326056839,1384
1326057167,1396
1326086653,1388
1326101924,1386
1326115577,1393
1326120700,1384
1326135443,1382
1326135450,1382
1326214438,1382
1336134501,1393
1336147685,1381
1336147776,1388
1336155530,1413
1336200385,1386
1336230424,1389
1336285873,1382
1336296136,1384
1336312602,1382
1336331719,1386
1336377837,1391
1336433549,1389
1346238656,1393
1346244324,1384
1346291952,1386
1346292257,1396
1346332756,1382
1346339710,1382
1346345154,1396
1346353299,1384
1346397205,1413
1346426038,1391
1346504529,1391
1346507423,1384
1346533320,1384
1356304984,1382
1356308779,1389
1356311831,1396
1356315063,1393
1356325237,1391
1356332068,1388
1356395990,1388
1356433783,1382
1356438493,1382
1356440796,1382
1356492342,1389
1356542369,1382
1356592778,1393
1366431710,1382
1366446171,1391
1366497273,1388
1366499261,1396
1366526469,1382
1366559536,1382
1366571523,1389
1366599151,1382
1366642415,1393
1366703225,1396
1366706459,1388
1366731697,1393
1366736845,1403
1376506337,1381
1376508374,1386
1376538207,1384
1376538272,1384
1376544767,1393
1376570010,1382
1376585174,1388
1376616771,1389
1376635052,1386
1376662718,1413
1386600906,1386
1386608768,1413
1386615540,1396
1386639219,1384
1386663144,1413
1386664456,1393
1386664662,1382
1386672335,1382
1386686137,1388
1386689636,1391
1386698058,1386
1386707446,1381
1386710051,1386
1386734069,1382
1386820413,1384
1386878957,1393
1386901536,1396
1396003356,1384
1396004099,1384
1396736963,1391
1396737177,1393
1396739140,1381
1396751749,1396
1396753356,1413
1396784971,1413
1396799979,1388
1396832168,1382
1396848305,1382
1396882205,1382
1396906657,1384
1396910600,1384
1396932463,1393
1396965034,1382
1407033632,1382
1407057946,1382
1407090236,1389
1407141302,1386
1407141773,1386
1407274251,1386
1407811722,1391
1407838931,1382
1407848534,1406
1407880016,1388
1407888357,1393
1407890593,1396
1407893464,1397
1407896749,1388
